sample_id,split,audit_cell,selection_reason,dataset,image_path,target,pred,best_variant,fix_grade,real_ink_erased,border_artifact_after,skeleton_follows_ink_after,notes,previous_best_variant,previous_fix_grade,previous_real_ink_erased,previous_border_artifact_after,previous_skeleton_follows_ink_after,previous_notes
school_notebooks_test_0321445,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321445.png,книг,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_test_0321643,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321643.png,"""ветра",,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_test_0321907,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0321907.png,не,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_test_0323269,test,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0323269.png,произ-,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_train_0006656,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0006656.png,стал,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0006662,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0006662.png,4/5.,,,,,,,,rgb_whitebalance_flat_hysteresis,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0009364,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0009364.png,разобраться.,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0011377,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0011377.png,"друзья,",,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0011503,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0011503.png,работа,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0011654,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0011654.png,географические,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_train_0013361,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0013361.png,шиворот,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,too_thick
school_notebooks_train_0019370,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0019370.png,class.,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0027525,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0027525.png,которые,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0027532,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0027532.png,я-,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0033754,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0033754.png,3.,,,,,,,,global_dark_120,good_fix,0,0,1,too_thick
school_notebooks_train_0103883,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0103883.png,ни,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_train_0123135,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0123135.png,сов.,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_train_0136744,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0136744.png,день,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0143036,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0143036.png,плане-,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0146577,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0146577.png,ки.,,,,,,,,school_dark_auto_v2,partial_fix,0,1,1,"too_thick
ruling_amplified"
school_notebooks_train_0147645,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0147645.png,людей.,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0147981,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0147981.png,"некого,",,,,,,,,global_dark_120,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0154204,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0154204.png,"минут,",,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0159588,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0159588.png,он,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0169788,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0169788.png,хорошо,,,,,,,,school_dark_auto_v2,bad_fix,0,1,0,
school_notebooks_train_0178139,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0178139.png,м.р,,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_train_0178304,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0178304.png,непар,,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0178752,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0178752.png,работа,,,,,,,,global_dark_120,good_fix,0,0,1,too_thick
school_notebooks_train_0178864,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0178864.png,дела,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0193977,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0193977.png,контрольный,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_train_0194158,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0194158.png,письмен-,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0206972,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0206972.png,педагог,,,,,,,,gray_flat_hysteresis,good_fix,0,0,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0208109,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0208109.png,"том,",,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0217439,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0217439.png,н.,,,,,,,,global_dark_120,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0220594,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0220594.png,добычей,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0221799,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0221799.png,домашняя,,,,,,,,global_dark_120,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0222481,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0222481.png,п.,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0224629,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0224629.png,ученика,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,"too_thick
ruling_amplified"
school_notebooks_train_0225651,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0225651.png,уйти,,,,,,,,gray_flat_hysteresis,good_fix,0,0,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0229209,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0229209.png,по,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0237352,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0237352.png,по.п,,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_train_0237410,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0237410.png,"речонки,",,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_train_0239018,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0239018.png,скл,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_train_0239673,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0239673.png,в.п,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_train_0240148,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0240148.png,1-е,,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_train_0240981,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0240981.png,не,,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_train_0242361,train,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0242361.png,юный,,,,,,,,global_dark_120,partial_fix,0,1,1,
school_notebooks_val_0268951,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0268951.png,можно,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0269654,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0269654.png,его,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0269699,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0269699.png,за,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0269962,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0269962.png,из,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0270178,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0270178.png,подлете-,,,,,,,,global_dark_120,good_fix,0,0,1,"too_thick
ruling_amplified
minor_detail_loss"
school_notebooks_val_0270719,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0270719.png,гл,,,,,,,,global_dark_120,good_fix,0,0,1,too_thick
school_notebooks_val_0271129,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0271129.png,нанзи-,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_val_0271708,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0271708.png,слов.,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,too_thick
school_notebooks_val_0272052,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0272052.png,на,,,,,,,,gray_flat_hysteresis,good_fix,0,0,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0273136,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0273136.png,луч,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_val_0273145,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0273145.png,ненастной,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_val_0273175,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0273175.png,не,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0277481,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0277481.png,мы,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim"
school_notebooks_val_0277484,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0277484.png,хотел,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0277535,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0277535.png,был,,,,,,,,gray_flat_hysteresis,partial_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_val_0283604,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0283604.png,"часики,",,,,,,,,school_dark_auto_v2,good_fix,0,0,1,too_thick
school_notebooks_val_0285134,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0285134.png,ск,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,"too_thick
ruling_amplified"
school_notebooks_val_0294186,val,binary_issue,all_binary_issue,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0294186.png,взгляд,,,,,,,,gray_flat_hysteresis,good_fix,0,1,1,"dark_image_rescued
background_rim
minor_detail_loss"
school_notebooks_test_0312113,test,none,prior_failure_non_dark,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0312113.png,лапоть,,,,,,,,gray_flat_hysteresis,bad_fix,0,1,0,"dark_image_rescued
background_rim"
school_notebooks_train_0200469,train,present_not_intersecting,prior_failure_non_dark,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0200469.png,кругом...,,,,,,,,school_dark_auto_v2,partial_fix,0,1,1,minor_detail_loss
school_notebooks_test_0296898,test,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0296898.png,"и,",,,,,,,,school_dark_auto_v2,good_fix,0,0,1,too_thick
school_notebooks_test_0301218,test,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0301218.png,гл,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_test_0301407,test,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0301407.png,п.,,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_train_0051329,train,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0051329.png,домашняя,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_train_0130362,train,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0130362.png,ч.,,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_train_0141921,train,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0141921.png,№3,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_train_0203677,train,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0203677.png,тые,,,,,,,,rgb_whitebalance_flat_hysteresis,good_fix,0,0,1,ruling_amplified
school_notebooks_val_0277011,val,detector_false_positive,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0277011.png,ши,,,,,,,,adaptive_raw_hysteresis,good_fix,0,0,1,
school_notebooks_test_0316386,test,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0316386.png,"горох,",,,,,,,,school_dark_auto_v2,good_fix,0,0,1,
school_notebooks_test_0320848,test,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0320848.png,н-,,,,,,,,global_dark_120,good_fix,0,0,1,too_thick
school_notebooks_train_0045877,train,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0045877.png,одиночество.,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,"too_thick
ruling_amplified"
school_notebooks_train_0075627,train,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0075627.png,вершка.,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,ruling_amplified
school_notebooks_train_0174110,train,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0174110.png,"(время),",,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_train_0247547,train,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0247547.png,ночью,,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_val_0279132,val,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0279132.png,не,,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_val_0280563,val,intersects_handwriting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0280563.png,от,,,,,,,,global_dark_120,good_fix,0,0,1,ruling_amplified
school_notebooks_test_0304620,test,none,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0304620.png,меня,,,,,,,,school_dark_auto_v2,good_fix,0,0,1,too_thick
school_notebooks_train_0203839,train,none,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_train_0203839.png,полетел,,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_val_0287379,val,none,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_val_0287379.png,на,,,,,,,,global_dark_120,good_fix,0,0,1,
school_notebooks_test_0299605,test,present_not_intersecting,easy_control,school_notebooks_clean,/home/galetka/Documents/Programming/hi-csg-r/data/processed/school_notebooks/ocr_images/school_notebooks_test_0299605.png,зяблики.,,,,,,,,global_dark_120,good_fix,0,0,1,
